# patience = 5
# n_steps_inc = 1
# n_in = 23
# target_scheme = OneBandLongwave
# n_ic = 2
# n_out = 10
# eta_decay = 0.7
# t_spinup = 1 day
# created = 2026-07-08T16:07:37.763
# min_delta = 0.0001
# scheme = NeuralABRLW
# n_hidden = 2
# act = leakyrelu
# n_steps_0 = 1
# fac_pert_T = 2.0
# width = 32
# n_traj = 2
# eta0 = 0.001
# julia = 1.10.11
# fac_pert_q = 0.2
# n_epochs = 2
# seed = 1234
# n_gap = 1
ic,traj,epoch,n_steps,loss,eta,pnorm,gnorm,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd
1,1,1,1,3.8923788,0.001,6.514598,0.0,0.08968237,-0.031778555,46.987457,-2.048121,143.13129,99.125595
1,1,2,1,3.8923788,0.001,6.514598,0.0,0.08968237,-0.031778555,46.987457,-2.048121,143.13129,99.125595
1,2,1,1,3.885153,0.001,6.514598,0.0,0.08959646,-0.031631604,46.941288,-2.1817782,143.00293,99.078285
1,2,2,1,3.885153,0.001,6.514598,0.0,0.08959646,-0.031631604,46.941288,-2.1817782,143.00293,99.078285
2,1,1,2,3.8683825,0.00070000003,6.514598,0.0,0.09782783,-0.03179088,46.504463,-1.5111504,143.3146,100.35866
2,1,2,2,3.8683825,0.00070000003,6.514598,0.0,0.09782783,-0.03179088,46.504463,-1.5111504,143.3146,100.35866
2,2,1,2,3.8597527,0.00070000003,6.514598,0.0,0.09761555,-0.031108733,46.419388,-1.6676303,143.2155,100.43014
2,2,2,2,3.8597527,0.00070000003,6.514598,0.0,0.09761555,-0.031108733,46.419388,-1.6676303,143.2155,100.43014
