# act = leakyrelu
# n_steps_inc = 1
# n_in = 8
# n_steps_0 = 5
# target_scheme = OneBandLongwave
# fac_pert_T = 2.0
# width = 32
# n_ic = 15
# n_traj = 10
# eta0 = 0.001
# julia = 1.10.10
# n_out = 16
# eta_decay = 0.5
# fac_pert_q = 0.2
# t_spinup = 31 days
# n_epochs = 5
# seed = 1234
# n_gap = 25
# created = 2026-07-11T00:16:30.432
# scheme = NeuralLinearLW
# n_hidden = 2
ic,traj,epoch,n_steps,loss,eta,pnorm,gnorm,rmse_T,bias_T
1,1,1,5,0.120977305,0.001,7.0367217,0.12479906,0.34781793,-0.2692948
1,1,2,5,0.11907626,0.001,7.024953,0.12480878,0.34507427,-0.26660132
1,1,3,5,0.117120326,0.001,7.01381,0.12467766,0.34222847,-0.26376686
1,1,4,5,0.11514438,0.001,7.003252,0.12448409,0.3393293,-0.26086733
1,1,5,5,0.11314911,0.001,6.9932523,0.124178626,0.33637643,-0.25788963
1,2,1,5,0.10979396,0.001,6.983813,0.122006886,0.33135173,-0.25208643
1,2,2,5,0.10784531,0.001,6.9749565,0.12182021,0.32839808,-0.2490234
1,2,3,5,0.10591609,0.001,6.966672,0.12182926,0.32544753,-0.24592327
1,2,4,5,0.10394567,0.001,6.95891,0.122119576,0.32240605,-0.24270734
1,2,5,5,0.10200931,0.001,6.951666,0.12270586,0.31938896,-0.23943198
1,3,1,5,0.099879496,0.001,6.9449086,0.12088924,0.31603718,-0.23051402
1,3,2,5,0.097911544,0.001,6.938629,0.12253361,0.3129082,-0.22703242
1,3,3,5,0.09589334,0.001,6.9328012,0.1234609,0.30966648,-0.22340131
1,3,4,5,0.09383191,0.001,6.9274297,0.12396003,0.30631995,-0.21964006
1,3,5,5,0.09179003,0.001,6.9225125,0.1248808,0.30296868,-0.21574837
1,4,1,5,0.08735307,0.001,6.9180317,0.12427272,0.29555553,-0.2097408
1,4,2,5,0.08522706,0.001,6.914016,0.12550543,0.29193673,-0.20546007
1,4,3,5,0.08299219,0.001,6.9104953,0.12748346,0.28808364,-0.20090015
1,4,4,5,0.08066354,0.001,6.907478,0.1294811,0.28401327,-0.19604455
1,4,5,5,0.07835123,0.001,6.9049535,0.13067248,0.2799129,-0.19103138
1,5,1,5,0.07515686,0.001,6.902906,0.13101211,0.2741475,-0.18718076
1,5,2,5,0.07259931,0.001,6.9013376,0.13116649,0.2694426,-0.18159801
1,5,3,5,0.07005444,0.001,6.900242,0.13124503,0.264678,-0.17570521
1,5,4,5,0.067468405,0.001,6.8995876,0.1323677,0.25974682,-0.16948737
1,5,5,5,0.06479929,0.001,6.899346,0.13256085,0.25455704,-0.16292974
1,6,1,5,0.06459179,0.001,6.899524,0.13450137,0.25414914,-0.16180393
1,6,2,5,0.06178867,0.001,6.900099,0.13373429,0.24857327,-0.1546146
1,6,3,5,0.05897912,0.001,6.9010305,0.13254847,0.24285617,-0.14715385
1,6,4,5,0.05616954,0.001,6.902247,0.1314422,0.23700114,-0.13942128
1,6,5,5,0.05331794,0.001,6.903668,0.13010402,0.23090678,-0.13134493
1,7,1,5,0.050924487,0.001,6.9052663,0.13004805,0.22566454,-0.12681025
1,7,2,5,0.048070285,0.001,6.90696,0.12764913,0.21924937,-0.118355334
1,7,3,5,0.04518522,0.001,6.908674,0.12491211,0.21256815,-0.10971024
1,7,4,5,0.04235743,0.001,6.9103694,0.12156213,0.2058092,-0.10092277
1,7,5,5,0.039561417,0.001,6.9120016,0.11763056,0.19890052,-0.09212682
1,8,1,5,0.037122536,0.001,6.9135146,0.11144664,0.19267209,-0.081613846
1,8,2,5,0.034438446,0.001,6.914892,0.10727656,0.18557599,-0.072842985
1,8,3,5,0.03183796,0.001,6.916119,0.10246791,0.17843194,-0.06415577
1,8,4,5,0.029321203,0.001,6.917182,0.09705352,0.17123435,-0.05560256
1,8,5,5,0.026901666,0.001,6.918057,0.091128424,0.16401727,-0.047243617
1,9,1,5,0.025567036,0.001,6.9186664,0.08231029,0.15989695,-0.036124088
1,9,2,5,0.02351583,0.001,6.918984,0.0759229,0.15334871,-0.028435245
1,9,3,5,0.02160181,0.001,6.918965,0.069170766,0.14697553,-0.020970227
1,9,4,5,0.019840522,0.001,6.9185624,0.06212499,0.14085639,-0.013882172
1,9,5,5,0.018286161,0.001,6.917721,0.05503296,0.13522634,-0.007331805
1,10,1,5,0.016639141,0.001,6.9163723,0.049476426,0.1289928,-0.001339857
1,10,2,5,0.015430829,0.001,6.914467,0.042953294,0.124220885,0.0041503003
1,10,3,5,0.0144751975,0.001,6.911956,0.03741529,0.120312914,0.008719588
1,10,4,5,0.013678284,0.001,6.9087825,0.033168096,0.1169542,0.012793526
1,10,5,5,0.013046056,0.001,6.904891,0.03084233,0.11421933,0.016192684
2,1,1,6,0.013764944,0.0005,6.902126,0.0664051,0.1173241,0.037237402
2,1,2,6,0.013708518,0.0005,6.898584,0.0694427,0.11708338,0.03801055
2,1,3,6,0.013589344,0.0005,6.894353,0.07094262,0.11657334,0.037925363
2,1,4,6,0.01340616,0.0005,6.8895273,0.07072256,0.11578497,0.03706857
2,1,5,6,0.013150325,0.0005,6.8841944,0.06962284,0.114674866,0.03551462
2,2,1,6,0.0131390225,0.0005,6.8784714,0.06341135,0.11462557,0.03200556
2,2,2,6,0.012824144,0.0005,6.8724375,0.059869204,0.11324374,0.029380064
2,2,3,6,0.012489238,0.0005,6.8661647,0.055702016,0.11175526,0.026424507
2,2,4,6,0.0121738445,0.0005,6.85972,0.05102215,0.11033515,0.02323834
2,2,5,6,0.011861169,0.0005,6.853167,0.045855995,0.108908996,0.019773757
2,3,1,6,0.014074021,0.0005,6.846568,0.038919833,0.11863398,0.016840845
2,3,2,6,0.013819774,0.0005,6.839973,0.03369317,0.11755753,0.013324437
2,3,3,6,0.013597683,0.0005,6.833426,0.028530521,0.116609104,0.009836039
2,3,4,6,0.013439697,0.0005,6.8269615,0.023995126,0.11592971,0.0064069526
2,3,5,6,0.013293505,0.0005,6.8206134,0.019873545,0.11529746,0.0030844205
2,4,1,6,0.012270307,0.0005,6.8144193,0.015892107,0.11077142,0.00071827933
2,4,2,6,0.012196922,0.0005,6.8083997,0.014264742,0.11043967,-0.0021632253
2,4,3,6,0.012145461,0.0005,6.802568,0.013897429,0.11020645,-0.004780328
2,4,4,6,0.012111511,0.0005,6.796934,0.014520748,0.11005231,-0.007096709
2,4,5,6,0.0120844375,0.0005,6.791504,0.015703497,0.10992924,-0.009224117
2,5,1,6,0.012791526,0.0005,6.786305,0.019160734,0.11309963,-0.0128038395
2,5,2,6,0.012778915,0.0005,6.781331,0.020570543,0.11304387,-0.014305406
2,5,3,6,0.012769042,0.0005,6.776577,0.021914138,0.113000184,-0.015573735
2,5,4,6,0.012761697,0.0005,6.772032,0.022929704,0.112967685,-0.016540268
2,5,5,6,0.012717531,0.0005,6.767686,0.023635687,0.11277203,-0.017251663
2,6,1,6,0.011307515,0.0005,6.763581,0.02958844,0.1063368,-0.021292768
2,6,2,6,0.0112700015,0.0005,6.7596965,0.029651092,0.10616026,-0.021464325
2,6,3,6,0.011177705,0.0005,6.7560124,0.029283836,0.10572466,-0.02136718
2,6,4,6,0.011117179,0.0005,6.752507,0.028642451,0.10543803,-0.021048661
2,6,5,6,0.011055643,0.0005,6.7491584,0.027685413,0.10514582,-0.020507006
2,7,1,6,0.011015515,0.0005,6.746013,0.03559837,0.104954824,-0.027279807
2,7,2,6,0.010904788,0.0005,6.743044,0.034073506,0.104426,-0.026275365
2,7,3,6,0.010813572,0.0005,6.7402196,0.03226009,0.10398833,-0.02507366
2,7,4,6,0.010706323,0.0005,6.7375116,0.030174116,0.10347136,-0.02365913
2,7,5,6,0.010600733,0.0005,6.734892,0.027923673,0.10295986,-0.02210649
2,8,1,6,0.009529588,0.0005,6.732377,0.03216834,0.09761961,-0.025662635
2,8,2,6,0.009407761,0.0005,6.729938,0.029663958,0.09699361,-0.02383997
2,8,3,6,0.009288795,0.0005,6.7275434,0.026967973,0.09637839,-0.021867992
2,8,4,6,0.009178379,0.0005,6.7251663,0.024321865,0.09580386,-0.01984085
2,8,5,6,0.009079958,0.0005,6.722781,0.021756185,0.09528881,-0.017806005
2,9,1,6,0.009123733,0.0005,6.72037,0.01891005,0.09551824,-0.015953563
2,9,2,6,0.009048447,0.0005,6.717908,0.016509507,0.09512333,-0.013915493
2,9,3,6,0.008977126,0.0005,6.7153764,0.014387582,0.0947477,-0.011914723
2,9,4,6,0.008927731,0.0005,6.7127595,0.0127296215,0.09448667,-0.010038811
2,9,5,6,0.008886834,0.0005,6.710042,0.011578709,0.094270006,-0.008279694
2,10,1,6,0.010600678,0.0005,6.707207,0.009939489,0.102959596,-0.0044490388
2,10,2,6,0.01058486,0.0005,6.7042456,0.010274883,0.10288275,-0.0030497042
2,10,3,6,0.010565442,0.0005,6.7011566,0.010856373,0.10278834,-0.0018442622
2,10,4,6,0.010542601,0.0005,6.69794,0.011513383,0.102677174,-0.00083945435
2,10,5,6,0.010517891,0.0005,6.6945972,0.012128213,0.102556765,-4.719845e-5
3,1,1,7,0.014938923,0.00025,6.692493,0.09233723,0.12222488,0.02731591
3,1,2,7,0.014857103,0.00025,6.6900196,0.091155574,0.12188972,0.026983712
3,1,3,7,0.014691673,0.00025,6.6872444,0.08842545,0.12120921,0.026040014
3,1,4,7,0.014451167,0.00025,6.6842275,0.08436373,0.120213,0.024584154
3,1,5,7,0.014143869,0.00025,6.6810236,0.079331554,0.118928,0.022738997
3,2,1,7,0.014032815,0.00025,6.6777,0.06916743,0.11846018,0.018238949
3,2,2,7,0.013769387,0.00025,6.6742973,0.06317466,0.11734303,0.015879711
3,2,3,7,0.013500119,0.00025,6.670856,0.057008762,0.11619001,0.013417055
3,2,4,7,0.013248316,0.00025,6.6674085,0.050614484,0.11510133,0.010771657
3,2,5,7,0.013028708,0.00025,6.6639876,0.044290442,0.114143364,0.008088493
3,3,1,7,0.014214566,0.00025,6.660603,0.040119328,0.119224854,0.0070103537
3,3,2,7,0.014013966,0.00025,6.65728,0.034506496,0.1183806,0.0044879424
3,3,3,7,0.013866076,0.00025,6.654036,0.029348219,0.1177543,0.0019853776
3,3,4,7,0.013742377,0.00025,6.6508913,0.0248238,0.11722788,-0.00045753006
3,3,5,7,0.0136507545,0.00025,6.6478567,0.021256838,0.11683644,-0.0027202326
3,4,1,7,0.016314613,0.00025,6.644951,0.019400496,0.12772867,-0.003891181
3,4,2,7,0.016161751,0.00025,6.64218,0.018457659,0.12712887,-0.005709646
3,4,3,7,0.016061513,0.00025,6.6395483,0.018375574,0.12673402,-0.0074126394
3,4,4,7,0.01601422,0.00025,6.637057,0.01896296,0.1265473,-0.0088814115
3,4,5,7,0.015979214,0.00025,6.6347065,0.019949498,0.12640892,-0.010232633
3,5,1,7,0.01370086,0.00025,6.6324983,0.022961142,0.11705067,-0.011013052
3,5,2,7,0.013671941,0.00025,6.6304264,0.023914423,0.11692707,-0.011907309
3,5,3,7,0.01363659,0.00025,6.6284866,0.024716867,0.11677581,-0.012632608
3,5,4,7,0.013657739,0.00025,6.6266713,0.02525461,0.11686633,-0.013173147
3,5,5,7,0.0136192655,0.00025,6.6249747,0.02563707,0.11670161,-0.013548794
3,6,1,7,0.013732922,0.00025,6.6234,0.028433941,0.11718755,-0.015421383
3,6,2,7,0.013726574,0.00025,6.621938,0.028273094,0.11716046,-0.015451677
3,6,3,7,0.013622339,0.00025,6.6205783,0.028085941,0.116714776,-0.01535278
3,6,4,7,0.013677416,0.00025,6.619311,0.027615163,0.11695049,-0.0152241895
3,6,5,7,0.013572328,0.00025,6.6181235,0.026933016,0.11650033,-0.014841118
3,7,1,7,0.013934408,0.00025,6.617023,0.029808864,0.11804409,-0.016340634
3,7,2,7,0.013837234,0.00025,6.6159964,0.028648708,0.11763177,-0.015752133
3,7,3,7,0.0138034355,0.00025,6.6150303,0.027381605,0.11748802,-0.015071204
3,7,4,7,0.013722929,0.00025,6.6141143,0.02614974,0.117144905,-0.0143998945
3,7,5,7,0.013656937,0.00025,6.613237,0.024573684,0.11686289,-0.013554751
3,8,1,7,0.011672691,0.00025,6.6124277,0.032088034,0.10804023,-0.019246737
3,8,2,7,0.0116926525,0.00025,6.6116724,0.030432478,0.10813257,-0.018403957
3,8,3,7,0.011617405,0.00025,6.610955,0.028410044,0.10778407,-0.017301027
3,8,4,7,0.011555175,0.00025,6.6102643,0.02631879,0.107495,-0.016161943
3,8,5,7,0.011497622,0.00025,6.6095867,0.024290344,0.10722697,-0.015018566
3,9,1,7,0.011547146,0.00025,6.608955,0.034232974,0.10745765,-0.021160742
3,9,2,7,0.011480587,0.00025,6.6083546,0.03197734,0.1071475,-0.019841323
3,9,3,7,0.0114097465,0.00025,6.6077695,0.029699031,0.10681642,-0.018460793
3,9,4,7,0.01134502,0.00025,6.607186,0.027303092,0.106513,-0.016995315
3,9,5,7,0.011275064,0.00025,6.6065907,0.025065737,0.1061841,-0.015569029
3,10,1,7,0.01147084,0.00025,6.60601,0.03169959,0.10710201,-0.019291557
3,10,2,7,0.011394684,0.00025,6.60543,0.029286023,0.106745884,-0.017755074
3,10,3,7,0.0113263875,0.00025,6.6048374,0.026949817,0.1064255,-0.016219283
3,10,4,7,0.011254022,0.00025,6.60422,0.024653321,0.10608497,-0.014652652
3,10,5,7,0.011182488,0.00025,6.6035666,0.02249983,0.10574728,-0.01308294
