# patience = 5
# n_steps_inc = 1
# n_in = 23
# target_scheme = OneBandLongwave
# n_ic = 2
# n_out = 10
# eta_decay = 0.7
# t_spinup = 1 day
# created = 2026-07-08T16:41:00.161
# min_delta = 0.0001
# scheme = NeuralABRLW
# n_hidden = 2
# act = leakyrelu
# n_steps_0 = 1
# fac_pert_T = 2.0
# width = 32
# n_traj = 2
# eta0 = 0.001
# julia = 1.10.11
# fac_pert_q = 0.2
# n_epochs = 2
# seed = 1234
# n_gap = 1
ic,traj,epoch,n_steps,loss,eta,pnorm,gnorm,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd
1,1,1,1,3.7421947,0.001,6.5361333,3.5659506,0.08901906,-0.035404757,49.168903,-12.322473,134.25223,71.7151
1,1,2,1,3.6566758,0.001,6.5354667,3.5962253,0.08897636,-0.035401043,48.748577,-12.037517,132.40796,70.171616
1,2,1,1,3.5638404,0.001,6.5353427,3.5710497,0.08885984,-0.035263024,48.331253,-11.944631,130.28575,68.40703
1,2,2,1,3.4778252,0.001,6.535727,3.5817235,0.08885466,-0.03528521,47.950756,-11.77593,128.26834,66.613754
2,1,1,2,3.3560002,0.00070000003,6.536334,3.6851175,0.096369684,-0.036533374,47.008286,-10.978365,126.20262,66.040344
2,1,2,2,3.2930636,0.00070000003,6.5372257,3.7205937,0.09637882,-0.036604803,46.758217,-10.929194,124.605064,64.58812
2,2,1,2,3.220471,0.00070000003,6.5383997,3.7275753,0.09605919,-0.036009427,46.45544,-11.053918,122.76372,63.078743
2,2,2,2,3.155953,0.00070000003,6.5398726,3.7172282,0.09606482,-0.036084328,46.21353,-11.048343,121.040985,61.458786
