# patience = 5
# n_steps_inc = 2
# n_in = 23
# target_scheme = OneBandLongwave
# n_ic = 5
# n_out = 10
# eta_decay = 0.7
# t_spinup = 31 days
# created = 2026-07-08T18:22:07.370
# min_delta = 0.0001
# scheme = NeuralABRLW
# n_hidden = 2
# act = leakyrelu
# n_steps_0 = 10
# fac_pert_T = 2.0
# width = 32
# n_traj = 10
# eta0 = 0.001
# julia = 1.10.11
# fac_pert_q = 0.2
# n_epochs = 10
# seed = 1234
# n_gap = 25
ic,traj,epoch,n_steps,loss,eta,pnorm,gnorm,rmse_T,bias_T,rmse_olw,bias_olw,rmse_slwd,bias_slwd
1,5,1,10,2.5737143,0.001,6.5866385,0.0,0.33985746,-0.11127152,44.545856,-24.791277,102.80369,50.844135
1,5,2,10,2.5737143,0.001,6.5866385,0.0,0.33985746,-0.11127152,44.545856,-24.791277,102.80369,50.844135
1,5,3,10,2.5737143,0.001,6.5866385,0.0,0.33985746,-0.11127152,44.545856,-24.791277,102.80369,50.844135
1,5,4,10,2.5737143,0.001,6.5866385,0.0,0.33985746,-0.11127152,44.545856,-24.791277,102.80369,50.844135
1,5,5,10,2.5737143,0.001,6.5866385,0.0,0.33985746,-0.11127152,44.545856,-24.791277,102.80369,50.844135
1,5,6,10,2.5737143,0.001,6.5866385,0.0,0.33985746,-0.11127152,44.545856,-24.791277,102.80369,50.844135
1,5,7,10,2.5737143,0.001,6.5866385,0.0,0.33985746,-0.11127152,44.545856,-24.791277,102.80369,50.844135
1,5,8,10,2.5737143,0.001,6.5866385,0.0,0.33985746,-0.11127152,44.545856,-24.791277,102.80369,50.844135
1,5,9,10,2.5737143,0.001,6.5866385,0.0,0.33985746,-0.11127152,44.545856,-24.791277,102.80369,50.844135
1,5,10,10,2.5737143,0.001,6.5866385,0.0,0.33985746,-0.11127152,44.545856,-24.791277,102.80369,50.844135
1,6,1,10,2.597196,0.001,6.5866385,0.0,0.34175372,-0.110090256,44.8201,-24.947931,103.09568,50.86284
1,6,2,10,2.597196,0.001,6.5866385,0.0,0.34175372,-0.110090256,44.8201,-24.947931,103.09568,50.86284
1,6,3,10,2.597196,0.001,6.5866385,0.0,0.34175372,-0.110090256,44.8201,-24.947931,103.09568,50.86284
1,6,4,10,2.597196,0.001,6.5866385,0.0,0.34175372,-0.110090256,44.8201,-24.947931,103.09568,50.86284
1,6,5,10,2.597196,0.001,6.5866385,0.0,0.34175372,-0.110090256,44.8201,-24.947931,103.09568,50.86284
1,6,6,10,2.597196,0.001,6.5866385,0.0,0.34175372,-0.110090256,44.8201,-24.947931,103.09568,50.86284
1,6,7,10,2.597196,0.001,6.5866385,0.0,0.34175372,-0.110090256,44.8201,-24.947931,103.09568,50.86284
1,6,8,10,2.597196,0.001,6.5866385,0.0,0.34175372,-0.110090256,44.8201,-24.947931,103.09568,50.86284
1,6,9,10,2.597196,0.001,6.5866385,0.0,0.34175372,-0.110090256,44.8201,-24.947931,103.09568,50.86284
1,6,10,10,2.597196,0.001,6.5866385,0.0,0.34175372,-0.110090256,44.8201,-24.947931,103.09568,50.86284
1,7,1,10,2.616563,0.001,6.5866385,0.0,0.34177348,-0.1084348,45.063835,-25.146444,103.28944,50.809353
1,7,2,10,2.616563,0.001,6.5866385,0.0,0.34177348,-0.1084348,45.063835,-25.146444,103.28944,50.809353
1,7,3,10,2.616563,0.001,6.5866385,0.0,0.34177348,-0.1084348,45.063835,-25.146444,103.28944,50.809353
1,7,4,10,2.616563,0.001,6.5866385,0.0,0.34177348,-0.1084348,45.063835,-25.146444,103.28944,50.809353
1,7,5,10,2.616563,0.001,6.5866385,0.0,0.34177348,-0.1084348,45.063835,-25.146444,103.28944,50.809353
1,7,6,10,2.616563,0.001,6.5866385,0.0,0.34177348,-0.1084348,45.063835,-25.146444,103.28944,50.809353
1,7,7,10,2.616563,0.001,6.5866385,0.0,0.34177348,-0.1084348,45.063835,-25.146444,103.28944,50.809353
1,7,8,10,2.616563,0.001,6.5866385,0.0,0.34177348,-0.1084348,45.063835,-25.146444,103.28944,50.809353
1,7,9,10,2.616563,0.001,6.5866385,0.0,0.34177348,-0.1084348,45.063835,-25.146444,103.28944,50.809353
1,7,10,10,2.616563,0.001,6.5866385,0.0,0.34177348,-0.1084348,45.063835,-25.146444,103.28944,50.809353
1,8,1,10,2.6328497,0.001,6.5866385,0.0,0.34150544,-0.10619568,45.339508,-25.440664,103.27403,50.531487
1,8,2,10,2.6328497,0.001,6.5866385,0.0,0.34150544,-0.10619568,45.339508,-25.440664,103.27403,50.531487
1,8,3,10,2.6328497,0.001,6.5866385,0.0,0.34150544,-0.10619568,45.339508,-25.440664,103.27403,50.531487
1,8,4,10,2.6328497,0.001,6.5866385,0.0,0.34150544,-0.10619568,45.339508,-25.440664,103.27403,50.531487
1,8,5,10,2.6328497,0.001,6.5866385,0.0,0.34150544,-0.10619568,45.339508,-25.440664,103.27403,50.531487
1,8,6,10,2.6328497,0.001,6.5866385,0.0,0.34150544,-0.10619568,45.339508,-25.440664,103.27403,50.531487
1,8,7,10,2.6328497,0.001,6.5866385,0.0,0.34150544,-0.10619568,45.339508,-25.440664,103.27403,50.531487
1,8,8,10,2.6328497,0.001,6.5866385,0.0,0.34150544,-0.10619568,45.339508,-25.440664,103.27403,50.531487
1,8,9,10,2.6328497,0.001,6.5866385,0.0,0.34150544,-0.10619568,45.339508,-25.440664,103.27403,50.531487
1,8,10,10,2.6328497,0.001,6.5866385,0.0,0.34150544,-0.10619568,45.339508,-25.440664,103.27403,50.531487
1,9,1,10,2.6415014,0.001,6.5866385,0.0,0.34322426,-0.10403048,45.55629,-25.713278,103.08792,50.250156
1,9,2,10,2.6415014,0.001,6.5866385,0.0,0.34322426,-0.10403048,45.55629,-25.713278,103.08792,50.250156
1,9,3,10,2.6415014,0.001,6.5866385,0.0,0.34322426,-0.10403048,45.55629,-25.713278,103.08792,50.250156
1,9,4,10,2.6415014,0.001,6.5866385,0.0,0.34322426,-0.10403048,45.55629,-25.713278,103.08792,50.250156
1,9,5,10,2.6415014,0.001,6.5866385,0.0,0.34322426,-0.10403048,45.55629,-25.713278,103.08792,50.250156
1,9,6,10,2.6415014,0.001,6.5866385,0.0,0.34322426,-0.10403048,45.55629,-25.713278,103.08792,50.250156
1,9,7,10,2.6415014,0.001,6.5866385,0.0,0.34322426,-0.10403048,45.55629,-25.713278,103.08792,50.250156
1,9,8,10,2.6415014,0.001,6.5866385,0.0,0.34322426,-0.10403048,45.55629,-25.713278,103.08792,50.250156
1,9,9,10,2.6415014,0.001,6.5866385,0.0,0.34322426,-0.10403048,45.55629,-25.713278,103.08792,50.250156
1,9,10,10,2.6415014,0.001,6.5866385,0.0,0.34322426,-0.10403048,45.55629,-25.713278,103.08792,50.250156
1,10,1,10,2.6467671,0.001,6.5866385,0.0,0.34356433,-0.10137914,45.7259,-25.986706,102.87831,49.97907
1,10,2,10,2.6467671,0.001,6.5866385,0.0,0.34356433,-0.10137914,45.7259,-25.986706,102.87831,49.97907
1,10,3,10,2.6467671,0.001,6.5866385,0.0,0.34356433,-0.10137914,45.7259,-25.986706,102.87831,49.97907
1,10,4,10,2.6467671,0.001,6.5866385,0.0,0.34356433,-0.10137914,45.7259,-25.986706,102.87831,49.97907
1,10,5,10,2.6467671,0.001,6.5866385,0.0,0.34356433,-0.10137914,45.7259,-25.986706,102.87831,49.97907
1,10,6,10,2.6467671,0.001,6.5866385,0.0,0.34356433,-0.10137914,45.7259,-25.986706,102.87831,49.97907
1,10,7,10,2.6467671,0.001,6.5866385,0.0,0.34356433,-0.10137914,45.7259,-25.986706,102.87831,49.97907
1,10,8,10,2.6467671,0.001,6.5866385,0.0,0.34356433,-0.10137914,45.7259,-25.986706,102.87831,49.97907
