# n_steps_inc = 2
# init_b = Float32[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]
# n_steps_0 = 10
# target_scheme = OneBandLongwave
# fac_pert_T = 2.0
# n_ic = 5
# n_traj = 10
# init_a = Float32[-10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0, -10.0]
# eta0 = 0.01
# julia = 1.10.10
# fac_pert_q = 0.2
# eta_decay = 0.9
# target_transmissivity = FriersonLongwaveTransmissivity
# t_spinup = 31 days
# n_epochs = 5
# seed = 1234
# model_type = PrimitiveWetModel
# n_gap = 10
# scheme = ConstLinearLW
# created = 2026-07-11T19:34:44.561
ic,traj,epoch,n_steps,loss,eta,pnorm,gnorm,rmse_T,bias_T
1,1,1,10,5.8868937,0.01,28.2577,0.5197851,2.4262922,2.3875074
1,1,2,10,5.8680067,0.01,28.229744,0.51895183,2.422397,2.3836052
1,1,3,10,5.8491964,0.01,28.20182,0.5181333,2.4185112,2.37976
1,1,4,10,5.8306127,0.01,28.173927,0.51732457,2.4146662,2.3759372
1,1,5,10,5.8118577,0.01,28.146067,0.5164935,2.4107795,2.3720267
1,2,1,10,5.931922,0.01,28.118217,0.52270097,2.4355538,2.393838
1,2,2,10,5.912404,0.01,28.090387,0.5218276,2.4315436,2.3897996
1,2,3,10,5.8935065,0.01,28.06258,0.52098376,2.4276545,2.3858843
1,2,4,10,5.8745193,0.01,28.034803,0.5201383,2.4237409,2.3819592
1,2,5,10,5.8561983,0.01,28.007057,0.5193505,2.4199584,2.3782308
1,3,1,10,5.6833916,0.01,27.979376,0.5097358,2.3839865,2.3436713
1,3,2,10,5.664929,0.01,27.951757,0.50891495,2.3801112,2.33973
1,3,3,10,5.6460576,0.01,27.9242,0.50806135,2.3761435,2.3357599
1,3,4,10,5.628496,0.01,27.896698,0.5072969,2.372445,2.3320434
1,3,5,10,5.6099873,0.01,27.869246,0.5064533,2.3685412,2.3280916
1,4,1,10,5.720141,0.01,27.841822,0.512372,2.3916817,2.349687
1,4,2,10,5.7022133,0.01,27.81442,0.51161987,2.3879309,2.3459828
1,4,3,10,5.6835175,0.01,27.787052,0.51077056,2.384013,2.3420365
1,4,4,10,5.6649656,0.01,27.759716,0.5099239,2.3801188,2.3381162
1,4,5,10,5.6467934,0.01,27.73241,0.5091526,2.3762982,2.334307
1,5,1,10,5.55026,0.01,27.705164,0.50383866,2.355899,2.3148022
1,5,2,10,5.5316505,0.01,27.677969,0.5029611,2.351946,2.3107924
1,5,3,10,5.513272,0.01,27.650831,0.50212485,2.3480358,2.3068888
1,5,4,10,5.4939265,0.01,27.623741,0.5012615,2.3439126,2.3029017
1,5,5,10,5.475856,0.01,27.596706,0.5004658,2.3400548,2.2991157
1,6,1,10,5.502942,0.01,27.56971,0.50296056,2.345835,2.3046467
1,6,2,10,5.484563,0.01,27.542753,0.5021166,2.3419144,2.3007016
1,6,3,10,5.466961,0.01,27.515835,0.50133413,2.3381534,2.2969859
1,6,4,10,5.4491663,0.01,27.488958,0.5005233,2.3343449,2.2932098
1,6,5,10,5.431113,0.01,27.462126,0.49970677,2.3304749,2.289316
1,7,1,10,5.4429827,0.01,27.435331,0.4997834,2.33302,2.2921045
1,7,2,10,5.424939,0.01,27.408573,0.49897942,2.32915,2.2882912
1,7,3,10,5.406669,0.01,27.381857,0.49813673,2.3252246,2.2843177
1,7,4,10,5.388558,0.01,27.355183,0.4972815,2.3213267,2.2803922
1,7,5,10,5.370328,0.01,27.32855,0.49645248,2.3173969,2.2764134
1,8,1,10,5.2722607,0.01,27.301983,0.49248722,2.2961404,2.257706
1,8,2,10,5.2537546,0.01,27.275476,0.49159512,2.292107,2.253626
1,8,3,10,5.2358584,0.01,27.249033,0.49076238,2.2882,2.249676
1,8,4,10,5.218256,0.01,27.222649,0.4899387,2.2843502,2.245808
1,8,5,10,5.2006316,0.01,27.196323,0.4891018,2.2804894,2.2419035
1,9,1,10,5.297408,0.01,27.170027,0.49330908,2.30161,2.259254
1,9,2,10,5.2800274,0.01,27.143764,0.4925044,2.297831,2.2554624
1,9,3,10,5.2607102,0.01,27.117535,0.49157083,2.293624,2.2512982
1,9,4,10,5.243221,0.01,27.091345,0.49075678,2.289808,2.247477
1,9,5,10,5.225732,0.01,27.065199,0.49051124,2.285986,2.2436547
1,10,1,10,5.058382,0.01,27.039133,0.48201305,2.2490847,2.210461
1,10,2,10,5.0408044,0.01,27.013147,0.4811632,2.2451737,2.2065048
1,10,3,10,5.0234537,0.01,26.98724,0.48031566,2.2413063,2.2026038
1,10,4,10,5.0064816,0.01,26.961405,0.47949326,2.2375169,2.198787
1,10,5,10,4.98906,0.01,26.935642,0.47864804,2.2336204,2.194879
2,1,1,12,7.0180955,0.009,26.911806,0.67517143,2.6491687,2.6003199
2,1,2,12,6.9955616,0.009,26.887411,0.67412543,2.6449125,2.5960455
2,1,3,12,6.973385,0.009,26.86254,0.67304385,2.6407168,2.591872
2,1,4,12,6.9501867,0.009,26.837269,0.6719632,2.6363206,2.5874276
2,1,5,12,6.926533,0.009,26.811653,0.6708611,2.6318307,2.5829213
2,2,1,12,7.1337013,0.009,26.785696,0.68249935,2.670899,2.6200168
2,2,2,12,7.1087303,0.009,26.759459,0.6812952,2.6662202,2.6152968
2,2,3,12,7.0835104,0.009,26.732986,0.68008304,2.6614864,2.6104906
2,2,4,12,7.0588293,0.009,26.706322,0.6788832,2.6568458,2.605864
2,2,5,12,7.032814,0.009,26.679506,0.67762166,2.6519454,2.600958
2,3,1,12,6.9210668,0.009,26.652594,0.67166376,2.6307921,2.5794075
2,3,2,12,6.8954587,0.009,26.62561,0.67039007,2.6259205,2.5744882
2,3,3,12,6.869178,0.009,26.59858,0.6690961,2.6209116,2.5695124
2,3,4,12,6.843564,0.009,26.571526,0.6685153,2.6160207,2.5645885
2,3,5,12,6.817789,0.009,26.54447,0.66722,2.6110897,2.559587
2,4,1,12,6.75503,0.009,26.517431,0.66398656,2.599044,2.549932
2,4,2,12,6.728953,0.009,26.490427,0.6626489,2.5940225,2.5448713
2,4,3,12,6.703422,0.009,26.463465,0.6613959,2.5890968,2.5398724
2,4,4,12,6.677471,0.009,26.436558,0.66016203,2.5840802,2.5349307
2,4,5,12,6.6518908,0.009,26.409714,0.65882325,2.579126,2.5298417
2,5,1,12,6.7806163,0.009,26.382906,0.665244,2.6039617,2.5493946
2,5,2,12,6.755221,0.009,26.356146,0.66340274,2.5990808,2.5444794
2,5,3,12,6.7308755,0.009,26.32944,0.662228,2.594393,2.5397937
2,5,4,12,6.704939,0.009,26.302794,0.660947,2.5893896,2.534708
2,5,5,12,6.678993,0.009,26.27622,0.6596335,2.584375,2.529594
2,6,1,12,6.424146,0.009,26.249773,0.6471376,2.53459,2.4846482
2,6,2,12,6.400289,0.009,26.223452,0.6459076,2.5298793,2.4799287
2,6,3,12,6.3747826,0.009,26.197254,0.6446072,2.5248332,2.4748087
2,6,4,12,6.3518376,0.009,26.171177,0.6434555,2.5202851,2.4702852
2,6,5,12,6.328062,0.009,26.145233,0.6402283,2.515564,2.4655638
2,7,1,12,6.4397135,0.009,26.119377,0.6484523,2.5376592,2.486338
2,7,2,12,6.4154186,0.009,26.093609,0.6472381,2.5328677,2.481574
2,7,3,12,6.3915157,0.009,26.06793,0.6460218,2.5281448,2.4768543
2,7,4,12,6.3678207,0.009,26.042347,0.6448351,2.5234542,2.4721754
2,7,5,12,6.3444853,0.009,26.016857,0.6437078,2.5188262,2.467554
2,8,1,12,6.3015594,0.009,25.991474,0.6399311,2.5102906,2.4588163
2,8,2,12,6.278041,0.009,25.966198,0.63896775,2.505602,2.454088
2,8,3,12,6.2537274,0.009,25.941023,0.63773483,2.5007453,2.449277
2,8,4,12,6.2313595,0.009,25.915956,0.6374142,2.4962692,2.4448323
2,8,5,12,6.205885,0.009,25.890993,0.6352658,2.4911613,2.4396358
2,9,1,12,6.0620594,0.009,25.866169,0.62717235,2.462125,2.411008
2,9,2,12,6.0396304,0.009,25.841475,0.626022,2.457566,2.4064438
2,9,3,12,6.0171175,0.009,25.816908,0.62490064,2.4529812,2.4019132
2,9,4,12,5.992981,0.009,25.792467,0.6238274,2.4480565,2.3968542
2,9,5,12,5.9710565,0.009,25.76814,0.6227083,2.4435744,2.3924015
2,10,1,12,6.1118793,0.009,25.743887,0.6313368,2.4722216,2.4206398
2,10,2,12,6.0895724,0.009,25.719704,0.6301879,2.467706,2.4161053
2,10,3,12,6.066642,0.009,25.695595,0.6289939,2.4630554,2.4113858
2,10,4,12,6.0444565,0.009,25.671562,0.6278372,2.4585476,2.4068835
2,10,5,12,6.0210147,0.009,25.647606,0.62658775,2.4537756,2.4020908
3,1,1,14,7.8366513,0.008099999,25.625538,0.827268,2.799402,2.741624
3,1,2,14,7.8103304,0.008099999,25.603031,0.8259337,2.7946968,2.7369444
3,1,3,14,7.782542,0.008099999,25.580153,0.8244763,2.7897208,2.7319381
3,1,4,14,7.755265,0.008099999,25.556961,0.82303774,2.7848277,2.7270396
3,1,5,14,7.727299,0.008099999,25.533508,0.82151353,2.779802,2.722008
3,2,1,14,7.920473,0.008099999,25.509785,0.83258045,2.8143334,2.7532358
3,2,2,14,7.890501,0.008099999,25.48585,0.83101743,2.8090036,2.7478416
3,2,3,14,7.860116,0.008099999,25.461733,0.8293998,2.8035898,2.742373
3,2,4,14,7.830116,0.008099999,25.437479,0.82782507,2.7982345,2.7369804
3,2,5,14,7.800931,0.008099999,25.413116,0.8262594,2.7930148,2.7317438
3,3,1,14,7.78254,0.008099999,25.388668,0.82599884,2.7897203,2.7307346
